X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,TIPO,Año,Claseaccid,Cód_Regi,Cód_Zona,Zona,Cód_Calle,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7866000.03909078,-3965520.94672489,1,-70.6614806,-33.5274179,REGION METROPOLITANA,13109,LA CISTERNA,GRAN AVDA JOSE MIGUEL CARRERA,EL PARRON,0,"GRAN AVDA JOSE MIGUEL CARRERA & EL PARRON, LA CISTERNA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131090158,0,0,0,1,1,1
-7865998.14665944,-3945453.78830416,2,-70.6614636,-33.3770135,REGION METROPOLITANA,13104,CONCHALI,GRAL GAMBINO,POMAIRE,0,"GRAL GAMBINO & POMAIRE, CONCHALI",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131040311,0,0,1,0,0,1
-7865947.1512007,-3960513.74634396,3,-70.6610055,-33.4899131,REGION METROPOLITANA,13130,SAN MIGUEL,SALESIANOS,JOSE JOAQUIN PRIETO VIAL,0,"SALESIANOS & JOSE JOAQUIN PRIETO VIAL, SAN MIGUEL",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131300248,0,0,0,1,1,1
-7865925.25465686,-3949326.68873331,4,-70.6608088,-33.4060614,REGION METROPOLITANA,13108,INDEPENDENCIA,INDEPENDENCIA,STA LAURA,0,"INDEPENDENCIA & STA LAURA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080174,0,0,0,1,0,1
-7865920.91319672,-3954655.68798474,5,-70.6607698,-33.4460146,REGION METROPOLITANA,13101,SANTIAGO,MANUEL RODRIGUEZ,LIBER BERNARDO O'HIGGINS,0,"MANUEL RODRIGUEZ & LIBER BERNARDO O'HIGGINS, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010391,0,0,1,0,1,1
-7865874.08108695,-3950733.99382238,6,-70.6603491,-33.4166142,REGION METROPOLITANA,13101,SANTIAGO,COMPANIA,MATURANA,0,"COMPANIA & MATURANA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010132,0,0,0,0,2,1
-7865865.44269446,-3949689.7007518,7,-70.6602715,-33.4087836,REGION METROPOLITANA,13108,INDEPENDENCIA,PALERMO,INDEPENDENCIA,0,"PALERMO & INDEPENDENCIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080270,0,0,0,1,1,1
-7865842.41069182,-3971719.28396783,8,-70.6600646,-33.573822,REGION METROPOLITANA,13112,LA PINTANA,SAN FRANCISCO,LO MARTINEZ,0,"SAN FRANCISCO & LO MARTINEZ, LA PINTANA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131120657,0,0,0,1,0,1
-7865796.44687407,-3949928.4878376,9,-70.6596517,-33.4105742,REGION METROPOLITANA,13108,INDEPENDENCIA,LOS NIDOS,INDEPENDENCIA,0,"LOS NIDOS & INDEPENDENCIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080217,0,0,1,0,1,1
-7865757.42939254,-3955075.82252642,10,-70.6593012,-33.4491637,REGION METROPOLITANA,13101,SANTIAGO,SAZIE,MANUEL RODRIGUEZ,0,"SAZIE & MANUEL RODRIGUEZ, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010602,0,0,0,1,0,1
-7865711.79953327,-3947942.64808276,11,-70.6588913,-33.3956818,REGION METROPOLITANA,13104,CONCHALI,DORSAL, ,1301,"DORSAL 1301, CONCHALI",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131040229,0,0,0,0,1,1
-7865707.91448304,-3950154.55730618,12,-70.6588564,-33.4122694,REGION METROPOLITANA,13108,INDEPENDENCIA,INGLATERRA,INDEPENDENCIA,0,"INGLATERRA & INDEPENDENCIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080176,0,0,1,0,1,1
-7865665.35704171,-3957883.12797645,13,-70.6584741,-33.4702028,REGION METROPOLITANA,13101,SANTIAGO,GRAL RONDIZZONI,ALAMOS,0,"GRAL RONDIZZONI & ALAMOS, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010274,0,1,0,0,1,1
-7865652.54416832,-3950298.24013602,14,-70.658359,-33.4133468,REGION METROPOLITANA,13108,INDEPENDENCIA,INDEPENDENCIA,CENTRAL,0,"INDEPENDENCIA & CENTRAL, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080174,0,0,0,1,0,1
-7865639.59771154,-3961067.63210329,15,-70.6582427,-33.4940626,REGION METROPOLITANA,13130,SAN MIGUEL,REAL AUDIENCIA,SAN IGNACIO DE LOYOLA,0,"REAL AUDIENCIA & SAN IGNACIO DE LOYOLA, SAN MIGUEL",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131300234,0,0,0,1,1,1
-7865606.09054481,-3952187.47374763,16,-70.6579417,-33.4275119,REGION METROPOLITANA,13108,INDEPENDENCIA,ANIBAL PINTO,BARNECHEA,0,"ANIBAL PINTO & BARNECHEA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080042,0,0,1,0,1,1
-7865602.06077924,-3954959.41714128,17,-70.6579055,-33.4482912,REGION METROPOLITANA,13101,SANTIAGO,DIECIOCHO,PADRE FELIPE GOMEZ DE VIDAURRE,0,"DIECIOCHO & PADRE FELIPE GOMEZ DE VIDAURRE, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010169,0,0,0,0,2,1
-7865587.75622468,-3945683.88972327,18,-70.657777,-33.3787396,REGION METROPOLITANA,13104,CONCHALI,EL GUANACO,CAUQUENES,0,"EL GUANACO & CAUQUENES, CONCHALI",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131040246,0,0,0,1,1,1
-7865577.44803983,-3954199.58891087,19,-70.6576844,-33.4425958,REGION METROPOLITANA,13101,SANTIAGO,SAN MARTIN,MONEDA,0,"SAN MARTIN & MONEDA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010585,0,0,0,0,1,1
-7865576.10107399,-3945940.61796454,20,-70.6576723,-33.3806654,REGION METROPOLITANA,13104,CONCHALI,PRINCIPAL CAP IGNACIO CARRERA PINTO,EL GUANACO,0,"PRINCIPAL CAP IGNACIO CARRERA PINTO & EL GUANACO, CONCHALI",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131040609,0,0,0,1,1,1
-7865555.50696819,-3952769.75983398,21,-70.6574873,-33.4318773,REGION METROPOLITANA,13101,SANTIAGO,PDTE BALMACEDA,AMUNATEGUI,0,"PDTE BALMACEDA & AMUNATEGUI, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010470,0,0,0,1,1,1
-7865541.5363721,-3950598.6008865,22,-70.6573618,-33.415599,REGION METROPOLITANA,13108,INDEPENDENCIA,INDEPENDENCIA,DOMINGO SANTA MARIA,0,"INDEPENDENCIA & DOMINGO SANTA MARIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080174,0,1,0,2,1,2
-7865533.6215563,-3947699.08864927,23,-70.6572907,-33.3938551,REGION METROPOLITANA,13104,CONCHALI,URMENETA,EL GUANACO,0,"URMENETA & EL GUANACO, CONCHALI",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131040765,0,0,1,0,1,1
-7865531.16139556,-3954621.45458251,24,-70.6572686,-33.445758,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS,SAN MARTIN,0,"LIBER BERNARDO O'HIGGINS & SAN MARTIN, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010342,0,0,1,1,2,2
-7865528.71236676,-3957859.73439638,25,-70.6572466,-33.4700275,REGION METROPOLITANA,13101,SANTIAGO,GRAL RONDIZZONI,FABRICA,0,"GRAL RONDIZZONI & FABRICA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010274,0,0,0,2,1,1
-7865491.04185108,-3950722.95107684,26,-70.6569082,-33.4165314,REGION METROPOLITANA,13108,INDEPENDENCIA,SAN LUIS,INDEPENDENCIA,0,"SAN LUIS & INDEPENDENCIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080311,0,1,1,2,3,4
-7865488.63735008,-3955608.26034305,27,-70.6568866,-33.4531544,REGION METROPOLITANA,13101,SANTIAGO,DIECIOCHO,STA ISABEL,0,"DIECIOCHO & STA ISABEL, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010169,0,0,0,0,2,1
-7865473.16394086,-3951128.49881324,28,-70.6567476,-33.4195722,REGION METROPOLITANA,13108,INDEPENDENCIA,CARRION, ,1246,"CARRION 1246, INDEPENDENCIA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131080091,0,0,0,1,0,1
-7865463.49027711,-3954609.07401615,29,-70.6566607,-33.4456652,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS, ,1460,"LIBER BERNARDO O'HIGGINS 1460, SANTIAGO",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131010342,0,0,0,1,1,1
-7865433.74570916,-3953486.09966573,30,-70.6563935,-33.4372474,REGION METROPOLITANA,13101,SANTIAGO,STO DOMINGO, ,1364,"STO DOMINGO 1364, SANTIAGO",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131010635,0,0,0,1,1,1
-7865425.41901125,-3954025.80158934,31,-70.6563187,-33.4412931,REGION METROPOLITANA,13101,SANTIAGO,AGUSTINAS,AMUNATEGUI,0,"AGUSTINAS & AMUNATEGUI, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010018,0,0,1,0,0,1
-7865408.81014323,-3954931.14648579,32,-70.6561695,-33.4480793,REGION METROPOLITANA,13101,SANTIAGO,PADRE FELIPE GOMEZ DE VIDAURRE,CORTE SUPREMA,0,"PADRE FELIPE GOMEZ DE VIDAURRE & CORTE SUPREMA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010456,0,0,0,1,0,1
-7865403.60039106,-3951112.42760698,33,-70.6561227,-33.4194517,REGION METROPOLITANA,13108,INDEPENDENCIA,CARRION,INDEPENDENCIA,0,"CARRION & INDEPENDENCIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080091,0,0,0,2,1,2
-7865394.88407493,-3967767.94201424,34,-70.6560444,-33.544243,REGION METROPOLITANA,13109,LA CISTERNA,VICUNA MACKENNA,PERO,0,"VICUNA MACKENNA & PERO, LA CISTERNA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131090392,0,1,0,0,1,1
-7865364.77215267,-3967465.70583431,35,-70.6557739,-33.5419801,REGION METROPOLITANA,13109,LA CISTERNA,GOYCOLEA,PERO,0,"GOYCOLEA & PERO, LA CISTERNA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131090155,0,0,0,1,1,1
-7865351.23570259,-3953407.78181213,36,-70.6556523,-33.4366603,REGION METROPOLITANA,13101,SANTIAGO,STO DOMINGO,TEATINOS,0,"STO DOMINGO & TEATINOS, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010635,0,0,0,1,1,1
-7865337.94415539,-3962574.63739993,37,-70.6555329,-33.5053515,REGION METROPOLITANA,13130,SAN MIGUEL,GRAN AVDA JOSE MIGUEL CARRERA,SEGUNDA AVENIDA,0,"GRAN AVDA JOSE MIGUEL CARRERA & SEGUNDA AVENIDA, SAN MIGUEL",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131300112,0,1,0,0,1,1
-7865333.31326457,-3953562.25698301,38,-70.6554913,-33.4378183,REGION METROPOLITANA,13101,SANTIAGO,TEATINOS,CATEDRAL,0,"TEATINOS & CATEDRAL, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010639,0,1,0,0,1,1
-7865327.35767181,-3954556.1499125,39,-70.6554378,-33.4452685,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS,LORD COCHRANE,0,"LIBER BERNARDO O'HIGGINS & LORD COCHRANE, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010342,0,0,0,2,0,1
-7865324.96430276,-3951578.9684612,40,-70.6554163,-33.4229497,REGION METROPOLITANA,13108,INDEPENDENCIA,INDEPENDENCIA,OLIVOS,0,"INDEPENDENCIA & OLIVOS, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080174,0,1,0,0,1,1
-7865306.64111458,-3953818.1326976,41,-70.6552517,-33.4397364,REGION METROPOLITANA,13101,SANTIAGO,TEATINOS,ROSA RODRIGUEZ,0,"TEATINOS & ROSA RODRIGUEZ, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010639,0,0,0,2,1,1
-7865299.12704895,-3953860.06104946,42,-70.6551842,-33.4400507,REGION METROPOLITANA,13101,SANTIAGO,HUERFANOS,TEATINOS,0,"HUERFANOS & TEATINOS, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010291,0,0,0,0,2,1
-7865242.26505305,-3957757.40638899,43,-70.6546734,-33.4692607,REGION METROPOLITANA,13101,SANTIAGO,SGTO ALDEA,SAN IGNACIO DE LOYOLA,0,"SGTO ALDEA & SAN IGNACIO DE LOYOLA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010606,0,0,0,1,1,1
-7865231.89007651,-3960924.45619754,44,-70.6545802,-33.49299,REGION METROPOLITANA,13130,SAN MIGUEL,TERESA VIAL,REY ALBERTO,0,"TERESA VIAL & REY ALBERTO, SAN MIGUEL",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131300291,0,0,0,0,1,1
-7865231.27781931,-3962206.5884619,45,-70.6545747,-33.5025946,REGION METROPOLITANA,13130,SAN MIGUEL,GRAN AVDA JOSE MIGUEL CARRERA,CALLE 1,0,"GRAN AVDA JOSE MIGUEL CARRERA & CALLE 1, SAN MIGUEL",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131300112,0,0,0,1,1,1
-7865224.44280258,-3954557.44399534,46,-70.6545133,-33.4452782,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS, ,1328,"LIBER BERNARDO O'HIGGINS 1328, SANTIAGO",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131010342,0,0,0,1,1,1
-7865222.39452395,-3958328.61589484,47,-70.6544949,-33.473541,REGION METROPOLITANA,13101,SANTIAGO,VIEL,FRANKLIN,0,"VIEL & FRANKLIN, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010671,0,1,0,0,1,1
-7865201.55551527,-3945834.28928372,48,-70.6543077,-33.3798678,REGION METROPOLITANA,13127,RECOLETA,HUBER BENITEZ,LAS VERTIENTES,0,"HUBER BENITEZ & LAS VERTIENTES, RECOLETA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131270399,0,1,0,0,1,1
-7865195.53313082,-3954449.79547569,49,-70.6542536,-33.4444713,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS,TEATINOS,0,"LIBER BERNARDO O'HIGGINS & TEATINOS, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010342,0,1,0,1,2,2
-7865101.07854288,-3954583.23229477,50,-70.6534051,-33.4454715,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS,MANUEL RODRIGUEZ,0,"LIBER BERNARDO O'HIGGINS & MANUEL RODRIGUEZ, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010342,0,1,0,2,1,3
-7865100.39949398,-3953980.96443028,51,-70.653399,-33.440957,REGION METROPOLITANA,13101,SANTIAGO,BLANCO ENCALADA,TUPPER,0,"BLANCO ENCALADA & TUPPER, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010089,0,0,0,1,1,1
-7865077.55673447,-3955176.0988664,52,-70.6531938,-33.4499153,REGION METROPOLITANA,13101,SANTIAGO,NATANIEL COX,ELEUTERIO RAMIREZ,0,"NATANIEL COX & ELEUTERIO RAMIREZ, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010429,0,0,0,1,1,1
-7865077.07806066,-3961435.2442978,53,-70.6531895,-33.4968165,REGION METROPOLITANA,13130,SAN MIGUEL,GRAN AVDA JOSE MIGUEL CARRERA,CARLOS EDWARDS,0,"GRAN AVDA JOSE MIGUEL CARRERA & CARLOS EDWARDS, SAN MIGUEL",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131300112,0,0,0,1,2,2
-7865050.29459118,-3967832.80048028,54,-70.6529489,-33.5447286,REGION METROPOLITANA,13109,LA CISTERNA,NVA PONIENTE,VICUNA MACKENNA,0,"NVA PONIENTE & VICUNA MACKENNA, LA CISTERNA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131090277,0,1,0,0,1,1
-7865048.91422949,-3953215.34438366,55,-70.6529365,-33.4352177,REGION METROPOLITANA,13101,SANTIAGO,ROSAS,BANDERA,0,"ROSAS & BANDERA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010560,0,0,0,0,2,1
-7865032.41668096,-3953366.85557517,56,-70.6527883,-33.4363535,REGION METROPOLITANA,13101,SANTIAGO,STO DOMINGO,BANDERA,0,"STO DOMINGO & BANDERA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010635,0,0,0,2,0,1
-7865012.14540168,-3964082.42676875,57,-70.6526062,-33.5166448,REGION METROPOLITANA,13109,LA CISTERNA,JORGE CACERES, ,490,"JORGE CACERES 490, LA CISTERNA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131090182,0,0,1,0,1,1
-7864947.06802737,-3954171.58692381,58,-70.6520216,-33.4423859,REGION METROPOLITANA,13101,SANTIAGO,COMPANIA,BANDERA,0,"COMPANIA & BANDERA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010132,0,0,0,0,2,1
-7864908.87431007,-3952671.50517289,59,-70.6516785,-33.4311407,REGION METROPOLITANA,13127,RECOLETA,LA PAZ,ARTESANOS,0,"LA PAZ & ARTESANOS, RECOLETA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131270448,0,0,0,0,2,1
-7864907.28244136,-3953082.65699841,60,-70.6516642,-33.434223,REGION METROPOLITANA,13101,SANTIAGO,PUENTE,SAN PABLO,0,"PUENTE & SAN PABLO, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010517,0,0,0,1,1,1
-7864907.14885797,-3956519.14645648,61,-70.651663,-33.4599812,REGION METROPOLITANA,13101,SANTIAGO,NATANIEL COX,MANUEL ANTONIO MATTA,0,"NATANIEL COX & MANUEL ANTONIO MATTA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010429,0,1,1,2,2,3
-7864907.02640653,-3952863.15989259,62,-70.6516619,-33.4325775,REGION METROPOLITANA,13101,SANTIAGO,CARD JOSE MARIA CARO,PUENTE LA PAZ,0,"CARD JOSE MARIA CARO & PUENTE LA PAZ, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010104,0,0,0,2,0,1
-7864898.2655626,-3953192.08029462,63,-70.6515832,-33.4350433,REGION METROPOLITANA,13101,SANTIAGO,PUENTE,ROSAS,0,"PUENTE & ROSAS, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010517,0,0,0,2,0,1
-7864870.61380109,-3952125.5307103,64,-70.6513348,-33.4270475,REGION METROPOLITANA,13108,INDEPENDENCIA,LA PAZ,DAVILA BAEZA,0,"LA PAZ & DAVILA BAEZA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080190,0,0,0,0,2,1
-7864828.03409586,-3947954.94152322,65,-70.6509523,-33.395774,REGION METROPOLITANA,13127,RECOLETA,DORSAL,LA PLATA,0,"DORSAL & LA PLATA, RECOLETA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131270224,0,1,0,1,0,1
-7864807.70715684,-3951353.8048023,66,-70.6507697,-33.4212615,REGION METROPOLITANA,13108,INDEPENDENCIA,SANTOS DUMONT,LA PAZ,0,"SANTOS DUMONT & LA PAZ, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080316,0,0,0,1,1,1
-7864765.3055628,-3955437.04022739,67,-70.6503888,-33.4518711,REGION METROPOLITANA,13101,SANTIAGO,SAN DIEGO,STA ISABEL,0,"SAN DIEGO & STA ISABEL, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010572,0,1,0,1,2,2
-7864744.03240811,-3951367.39558967,68,-70.6501977,-33.4213634,REGION METROPOLITANA,13108,INDEPENDENCIA,SANTOS DUMONT,INDEPENDENCIA,0,"SANTOS DUMONT & INDEPENDENCIA, INDEPENDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131080315,0,0,0,3,1,2
-7864736.09532841,-3954418.31090769,69,-70.6501264,-33.4442353,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS,AHUMADA,0,"LIBER BERNARDO O'HIGGINS & AHUMADA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010342,0,0,0,0,2,1
-7864719.67570352,-3947967.87498332,70,-70.6499789,-33.395871,REGION METROPOLITANA,13127,RECOLETA,DORSAL,JOSE MIGUEL CARRERA,0,"DORSAL & JOSE MIGUEL CARRERA, RECOLETA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131270224,1,0,0,0,1,1
-7864717.5161054,-3954252.87158311,71,-70.6499595,-33.4429952,REGION METROPOLITANA,13101,SANTIAGO,LIBER BERNARDO O'HIGGINS, ,975,"LIBER BERNARDO O'HIGGINS 975, SANTIAGO",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131010342,0,0,0,1,1,1
-7864686.56928696,-3959976.22422356,72,-70.6496815,-33.485886,REGION METROPOLITANA,13130,SAN MIGUEL,GRAN AVDA JOSE MIGUEL CARRERA,TANNENBAUM,0,"GRAN AVDA JOSE MIGUEL CARRERA & TANNENBAUM, SAN MIGUEL",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131300112,0,0,0,1,1,1
-7864624.57546254,-3956477.64879639,73,-70.6491246,-33.4596702,REGION METROPOLITANA,13101,SANTIAGO,MANUEL ANTONIO MATTA,SAN DIEGO,0,"MANUEL ANTONIO MATTA & SAN DIEGO, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010385,0,0,0,1,1,1
-7864618.20798767,-4004114.73753491,74,-70.6490674,-33.8159458,REGION METROPOLITANA,13404,PAINE,CAMINO PADRE HURTADO, ,26,"CAMINO PADRE HURTADO 26, PAINE",CHILE,RANGE_INTERPOLATED,2021,1,13,2,RURAL,0,0,0,0,0,2,1
-7864600.34120939,-3953132.37290396,75,-70.6489069,-33.4345957,REGION METROPOLITANA,13101,SANTIAGO,ESMERALDA,SAN ANTONIO,0,"ESMERALDA & SAN ANTONIO, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010212,0,0,0,1,1,1
-7864588.7751143,-3955383.6053403,76,-70.648803,-33.4514706,REGION METROPOLITANA,13101,SANTIAGO,STA ISABEL,ARTURO PRAT,0,"STA ISABEL & ARTURO PRAT, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010621,0,0,0,2,2,2
-7864564.60765285,-3953332.41255045,77,-70.6485859,-33.4360953,REGION METROPOLITANA,13101,SANTIAGO,SAN ANTONIO, ,587,"SAN ANTONIO 587, SANTIAGO",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131010569,0,1,0,0,1,1
-7864504.11664155,-3955879.03158884,78,-70.6480425,-33.4551838,REGION METROPOLITANA,13101,SANTIAGO,ARTURO PRAT,COPIAPO,0,"ARTURO PRAT & COPIAPO, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010062,0,0,1,0,1,1
-7864502.51364088,-3952979.93103443,79,-70.6480281,-33.4334529,REGION METROPOLITANA,13101,SANTIAGO,CARD JOSE MARIA CARO,RECOLETA,0,"CARD JOSE MARIA CARO & RECOLETA, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010104,0,1,0,2,1,2
-7864499.15179226,-3965681.60644144,80,-70.6479979,-33.528621,REGION METROPOLITANA,13131,SAN RAMON,EL PARRON,SAN FRANCISCO,0,"EL PARRON & SAN FRANCISCO, SAN RAMON",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131310114,0,0,0,1,1,1
-7864480.86199992,-3955487.7135393,81,-70.6478336,-33.4522509,REGION METROPOLITANA,13101,SANTIAGO,EYZAGUIRRE,SERRANO,0,"EYZAGUIRRE & SERRANO, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010224,0,0,0,1,2,1
-7864406.87906634,-3956659.33225728,82,-70.647169,-33.4610318,REGION METROPOLITANA,13101,SANTIAGO,MARINA DE GAETE,ARTURO PRAT,0,"MARINA DE GAETE & ARTURO PRAT, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010400,0,0,0,0,2,1
-7864391.70621975,-3953594.88645812,83,-70.6470327,-33.4380629,REGION METROPOLITANA,13101,SANTIAGO,MERCED,MAC IVER,0,"MERCED & MAC IVER, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010416,0,0,0,1,1,1
-7864387.86569731,-3954743.37985467,84,-70.6469982,-33.4466719,REGION METROPOLITANA,13101,SANTIAGO,TARAPACA,SAN FRANCISCO,0,"TARAPACA & SAN FRANCISCO, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010638,0,0,0,2,2,2
-7864383.63555666,-3957317.2781688,85,-70.6469602,-33.4659625,REGION METROPOLITANA,13101,SANTIAGO,ARTURO PRAT,PEDRO LAGOS,0,"ARTURO PRAT & PEDRO LAGOS, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010062,0,1,0,0,3,2
-7864370.61117624,-3955305.60819279,86,-70.6468432,-33.450886,REGION METROPOLITANA,13101,SANTIAGO,STA ISABEL,SAN FRANCISCO,0,"STA ISABEL & SAN FRANCISCO, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010621,0,0,0,1,0,1
-7864369.73175226,-3954286.69033184,87,-70.6468353,-33.4432487,REGION METROPOLITANA,13101,SANTIAGO,ERASMO ESCALA,LIBER BERNARDO O'HIGGINS,0,"ERASMO ESCALA & LIBER BERNARDO O'HIGGINS, SANTIAGO",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131010210,0,1,0,0,1,1
